# sources/allowlist.tsv — GENERATED by `asterwell-build allowlist`; do not edit.
#
# Every code point the family promises, and where its outline comes from:
#   custom    an original Asterwell outline
#   literata  preserved from Literata; neither imported nor redrawn
#   dejavu    imported from DejaVu Sans, scaled to Literata's cap height
#
# Rules live in sources/allowlist.toml. Regenerate with `mise run allowlist`
# and commit the diff; `asterwell-build allowlist --check` fails if this file
# no longer matches the rules and the pinned fonts.
#
# generator 1
# Literata 3.103 — fonts/variable/Literata[opsz,wght].ttf
#     sha256 b41138c9373112f32abb589cc22e8674b06ed4048b0c513be922bdd26f274440
#     from   https://github.com/googlefonts/literata/releases/download/3.103/3.103.zip
# Literata 3.103 — fonts/variable/Literata-Italic[opsz,wght].ttf
#     sha256 d483dfaeba9cbf4ce71d32a52ee65df82f7e35b15fff8d1011cdb242d1fcd465
#     from   https://github.com/googlefonts/literata/releases/download/3.103/3.103.zip
# DejaVu Sans 2.37 — dejavu-fonts-ttf-2.37/ttf/DejaVuSans.ttf
#     sha256 7da195a74c55bef988d0d48f9508bd5d849425c1770dba5d7bfc6ce9ed848954
#     from   https://github.com/dejavu-fonts/dejavu-fonts/releases/download/version_2_37/dejavu-fonts-ttf-2.37.tar.bz2
#
# 532 rows: 8 custom, 24 literata, 500 dejavu
# 21 rows are emoji-presentation by default and need U+FE0E in text
# 0 imported code point(s) appear in Bitstream Vera Sans 1.10 (qa/vera-1.10-codepoints.txt); this must be 0
#
codepoint	char	unicode_name	block	source	glyph_name	group	emoji_presentation	note
U+260D	☍	OPPOSITION	Miscellaneous Symbols	dejavu	uni260D	Miscellaneous Symbols	no	
U+260E	☎	BLACK TELEPHONE	Miscellaneous Symbols	dejavu	uni260E	Miscellaneous Symbols	no	
U+260F	☏	WHITE TELEPHONE	Miscellaneous Symbols	dejavu	uni260F	Miscellaneous Symbols	no	
U+2610	☐	BALLOT BOX	Miscellaneous Symbols	dejavu	uni2610	Miscellaneous Symbols	no	
U+2611	☑	BALLOT BOX WITH CHECK	Miscellaneous Symbols	dejavu	uni2611	Miscellaneous Symbols	no	
U+2612	☒	BALLOT BOX WITH X	Miscellaneous Symbols	dejavu	uni2612	Miscellaneous Symbols	no	
U+2613	☓	SALTIRE	Miscellaneous Symbols	dejavu	uni2613	Miscellaneous Symbols	no	
U+2614	☔	UMBRELLA WITH RAIN DROPS	Miscellaneous Symbols	dejavu	uni2614	Miscellaneous Symbols	yes	
U+2615	☕	HOT BEVERAGE	Miscellaneous Symbols	dejavu	uni2615	Miscellaneous Symbols	yes	
U+2616	☖	WHITE SHOGI PIECE	Miscellaneous Symbols	dejavu	uni2616	Miscellaneous Symbols	no	
U+2617	☗	BLACK SHOGI PIECE	Miscellaneous Symbols	dejavu	uni2617	Miscellaneous Symbols	no	
U+2618	☘	SHAMROCK	Miscellaneous Symbols	dejavu	uni2618	Miscellaneous Symbols	no	
U+2619	☙	REVERSED ROTATED FLORAL HEART BULLET	Miscellaneous Symbols	dejavu	uni2619	Miscellaneous Symbols	no	
U+261A	☚	BLACK LEFT POINTING INDEX	Miscellaneous Symbols	dejavu	uni261A	Miscellaneous Symbols	no	
U+261B	☛	BLACK RIGHT POINTING INDEX	Miscellaneous Symbols	dejavu	uni261B	Miscellaneous Symbols	no	
U+261C	☜	WHITE LEFT POINTING INDEX	Miscellaneous Symbols	dejavu	uni261C	Miscellaneous Symbols	no	
U+261D	☝	WHITE UP POINTING INDEX	Miscellaneous Symbols	dejavu	uni261D	Miscellaneous Symbols	no	
U+261E	☞	WHITE RIGHT POINTING INDEX	Miscellaneous Symbols	dejavu	uni261E	Miscellaneous Symbols	no	
U+261F	☟	WHITE DOWN POINTING INDEX	Miscellaneous Symbols	dejavu	uni261F	Miscellaneous Symbols	no	
U+2620	☠	SKULL AND CROSSBONES	Miscellaneous Symbols	dejavu	uni2620	Miscellaneous Symbols	no	
U+2621	☡	CAUTION SIGN	Miscellaneous Symbols	dejavu	uni2621	Miscellaneous Symbols	no	
U+2622	☢	RADIOACTIVE SIGN	Miscellaneous Symbols	dejavu	uni2622	Miscellaneous Symbols	no	
U+2623	☣	BIOHAZARD SIGN	Miscellaneous Symbols	dejavu	uni2623	Miscellaneous Symbols	no	
U+2624	☤	CADUCEUS	Miscellaneous Symbols	dejavu	uni2624	Miscellaneous Symbols	no	
U+2625	☥	ANKH	Miscellaneous Symbols	dejavu	uni2625	Miscellaneous Symbols	no	
U+2626	☦	ORTHODOX CROSS	Miscellaneous Symbols	dejavu	uni2626	Miscellaneous Symbols	no	
U+2627	☧	CHI RHO	Miscellaneous Symbols	dejavu	uni2627	Miscellaneous Symbols	no	
U+2628	☨	CROSS OF LORRAINE	Miscellaneous Symbols	dejavu	uni2628	Miscellaneous Symbols	no	
U+2629	☩	CROSS OF JERUSALEM	Miscellaneous Symbols	dejavu	uni2629	Miscellaneous Symbols	no	
U+262A	☪	STAR AND CRESCENT	Miscellaneous Symbols	dejavu	uni262A	Miscellaneous Symbols	no	
U+262B	☫	FARSI SYMBOL	Miscellaneous Symbols	dejavu	uni262B	Miscellaneous Symbols	no	
U+262C	☬	ADI SHAKTI	Miscellaneous Symbols	dejavu	uni262C	Miscellaneous Symbols	no	
U+262D	☭	HAMMER AND SICKLE	Miscellaneous Symbols	dejavu	uni262D	Miscellaneous Symbols	no	
U+262E	☮	PEACE SYMBOL	Miscellaneous Symbols	dejavu	uni262E	Miscellaneous Symbols	no	
U+262F	☯	YIN YANG	Miscellaneous Symbols	dejavu	uni262F	Miscellaneous Symbols	no	
U+2630	☰	TRIGRAM FOR HEAVEN	Miscellaneous Symbols	dejavu	uni2630	Miscellaneous Symbols	no	
U+2631	☱	TRIGRAM FOR LAKE	Miscellaneous Symbols	dejavu	uni2631	Miscellaneous Symbols	no	
U+2632	☲	TRIGRAM FOR FIRE	Miscellaneous Symbols	dejavu	uni2632	Miscellaneous Symbols	no	
U+2633	☳	TRIGRAM FOR THUNDER	Miscellaneous Symbols	dejavu	uni2633	Miscellaneous Symbols	no	
U+2634	☴	TRIGRAM FOR WIND	Miscellaneous Symbols	dejavu	uni2634	Miscellaneous Symbols	no	
U+2635	☵	TRIGRAM FOR WATER	Miscellaneous Symbols	dejavu	uni2635	Miscellaneous Symbols	no	
U+2636	☶	TRIGRAM FOR MOUNTAIN	Miscellaneous Symbols	dejavu	uni2636	Miscellaneous Symbols	no	
